ds,producto,y
2025-02-11,Salmón,15.000
2025-02-16,Atún,27.000
2025-02-14,Merluza,14.000
2025-02-15,Salmón,27.000
2025-02-16,Salmón,15.000
2025-02-08,Atún,21.000
2025-02-08,Salmón,35.000
2025-02-10,Salmón,14.000
2025-02-08,Merluza,37.000
2025-02-13,Salmón,24.000
2025-02-06,Salmón,16.000
2025-02-05,Merluza,24.000
2025-02-13,Merluza,30.000
2025-02-09,Merluza,27.000
2025-02-07,Atún,14.000
2025-02-07,Salmón,10.000
2025-02-11,Atún,18.000
2025-02-12,Salmón,27.000
2025-02-10,Merluza,10.000
2025-02-11,Merluza,11.000
2025-02-06,Atún,24.000
2025-02-06,Merluza,15.000
2025-02-01,Merluza,17.000
2025-02-10,Atún,14.000
2025-02-02,Merluza,31.000
2025-02-07,Merluza,16.000
2025-02-09,Atún,30.000
2025-02-09,Salmón,18.000
2025-02-01,Atún,28.000
2025-02-02,Atún,15.000
2025-02-04,Salmón,12.000
2025-02-03,Salmón,17.000
2025-02-03,Merluza,17.000
2025-02-05,Atún,13.000
2025-02-05,Salmón,13.000
2025-01-31,Salmón,18.000
2025-02-04,Atún,20.000
2025-01-31,Merluza,20.000
2025-02-04,Merluza,25.000
2025-02-02,Salmón,29.000
2025-01-30,Merluza,15.000
2025-01-29,Merluza,9.000
2025-01-25,Atún,30.000
2025-01-31,Atún,12.000
2025-02-03,Atún,20.000
2025-02-01,Salmón,22.000
2025-01-26,Salmón,36.000
2025-01-28,Atún,25.000
2025-01-23,Salmón,15.000
2025-01-24,Salmón,28.000
2025-01-23,Atún,29.000
2025-01-29,Atún,25.000
2025-01-26,Atún,28.000
2025-01-26,Merluza,21.000
2025-01-30,Atún,22.000
2025-01-29,Salmón,13.000
2025-01-30,Salmón,15.000
2025-01-27,Merluza,19.000
2025-01-21,Salmón,9.000
2025-01-27,Atún,10.000
2025-01-20,Salmón,29.000
2025-01-28,Merluza,9.000
2025-01-24,Atún,9.000
2025-01-22,Salmón,20.000
2025-01-28,Salmón,29.000
2025-01-22,Atún,24.000
2025-01-25,Merluza,22.000
2025-01-27,Salmón,16.000
2025-01-19,Atún,16.000
2025-01-18,Atún,29.000
2025-01-17,Atún,10.000
2025-01-25,Salmón,33.000
2025-01-20,Merluza,15.000
2025-01-24,Merluza,20.000
2025-01-19,Merluza,24.000
2025-01-22,Merluza,10.000
2025-01-20,Atún,23.000
2025-01-23,Merluza,16.000
2025-01-18,Salmón,27.000
2025-01-21,Atún,26.000
2025-01-16,Salmón,28.000
2025-01-21,Merluza,12.000
2025-01-14,Atún,10.000
2025-01-15,Salmón,15.000
2025-01-12,Atún,18.000
2025-01-17,Salmón,16.000
2025-01-15,Atún,10.000
2025-01-11,Atún,20.000
2025-01-13,Merluza,14.000
2025-01-16,Merluza,24.000
2025-01-19,Salmón,17.000
2025-01-18,Merluza,18.000
2025-01-12,Merluza,22.000
2025-01-15,Merluza,18.000
2025-01-16,Atún,16.000
2025-01-10,Salmón,14.000
2025-01-08,Merluza,19.000
2025-01-17,Merluza,10.000
2025-01-14,Merluza,19.000
2025-01-11,Salmón,31.000
2025-01-13,Salmón,11.000
2025-01-11,Merluza,38.000
2025-01-14,Salmón,12.000
2025-01-13,Atún,21.000
2025-01-08,Atún,19.000
2025-01-12,Salmón,16.000
2025-01-09,Salmón,21.000
2025-01-09,Merluza,24.000
2025-01-10,Merluza,18.000
2025-01-08,Salmón,24.000
2025-01-10,Atún,12.000
2025-01-06,Salmón,11.000
2025-01-07,Atún,27.000
2025-01-01,Merluza,9.000
2025-01-05,Merluza,27.000
2025-01-05,Salmón,22.000
2025-01-06,Atún,23.000
2025-01-09,Atún,10.000
2025-01-02,Atún,19.000
2025-01-06,Merluza,17.000
2025-01-05,Atún,31.000
2025-01-03,Salmón,12.000
2025-01-04,Salmón,21.000
2025-01-03,Merluza,26.000
2025-01-07,Salmón,28.000
2025-01-07,Merluza,19.000
2025-01-04,Atún,28.000
2024-12-28,Merluza,20.000
2024-12-28,Salmón,25.000
2025-01-02,Salmón,28.000
2024-12-29,Atún,19.000
2024-12-29,Salmón,20.000
2024-12-31,Salmón,17.000
2025-01-03,Atún,10.000
2024-12-30,Atún,21.000
2025-01-01,Atún,19.000
2025-01-01,Salmón,16.000
2024-12-26,Salmón,17.000
2025-01-04,Merluza,20.000
2025-01-02,Merluza,12.000
2024-12-31,Merluza,14.000
2024-12-25,Merluza,11.000
2024-12-28,Atún,33.000
2024-12-30,Salmón,21.000
2024-12-31,Atún,15.000
2024-12-29,Merluza,31.000
2024-12-25,Atún,14.000
2024-12-24,Merluza,25.000
2024-12-26,Atún,22.000
2024-12-23,Salmón,12.000
2024-12-30,Merluza,22.000
2024-12-24,Salmón,27.000
2024-12-23,Atún,8.000
2024-12-25,Salmón,24.000
2024-12-24,Atún,23.000
2024-12-23,Merluza,22.000
2024-12-26,Merluza,20.000
2024-12-22,Atún,35.000
2024-12-27,Atún,26.000
2024-12-27,Merluza,22.000
2024-12-22,Merluza,13.000
2024-12-27,Salmón,16.000
2024-12-21,Merluza,18.000
2024-12-19,Merluza,25.000
2024-12-19,Salmón,11.000
2024-12-20,Atún,9.000
2024-12-21,Salmón,27.000
2024-12-19,Atún,9.000
2024-12-21,Atún,17.000
2024-12-16,Atún,11.000
2024-12-18,Merluza,24.000
2024-12-15,Atún,27.000
2024-12-18,Atún,19.000
2024-12-16,Salmón,11.000
2024-12-17,Merluza,18.000
2024-12-22,Salmón,28.000
2024-12-17,Salmón,14.000
2024-12-16,Merluza,15.000
2024-12-20,Merluza,21.000
2024-12-20,Salmón,23.000
2024-12-12,Merluza,23.000
2024-12-13,Atún,16.000
2024-12-18,Salmón,22.000
2024-12-12,Salmón,18.000
2024-12-10,Merluza,9.000
2024-12-11,Merluza,20.000
2024-12-14,Salmón,29.000
2024-12-15,Salmón,22.000
2024-12-08,Merluza,20.000
2024-12-17,Atún,27.000
2024-12-11,Salmón,12.000
2024-12-13,Merluza,9.000
2024-12-13,Salmón,13.000
2024-12-07,Merluza,32.000
2024-12-15,Merluza,30.000
2024-12-12,Atún,20.000
2024-12-14,Atún,13.000
2024-12-05,Merluza,22.000
2024-12-14,Merluza,28.000
2024-12-09,Salmón,21.000
2024-12-08,Atún,19.000
2024-12-04,Atún,10.000
2024-12-10,Salmón,16.000
2024-12-11,Atún,25.000
2024-12-10,Atún,21.000
2024-12-03,Atún,20.000
2024-12-04,Salmón,19.000
2024-12-07,Atún,23.000
2024-12-07,Salmón,31.000
2024-12-06,Salmón,10.000
2024-12-01,Merluza,13.000
2024-12-06,Merluza,17.000
2024-12-02,Salmón,9.000
2024-12-09,Merluza,9.000
2024-12-09,Atún,9.000
2024-12-08,Salmón,25.000
2024-11-29,Merluza,17.000
2024-11-30,Merluza,14.000
2024-12-02,Atún,11.000
2024-12-03,Merluza,23.000
2024-11-30,Salmón,33.000
2024-12-02,Merluza,19.000
2024-12-01,Atún,22.000
2024-11-30,Atún,22.000
2024-12-03,Salmón,26.000
2024-12-04,Merluza,17.000
2024-12-06,Atún,13.000
2024-12-05,Atún,8.000
2024-11-26,Atún,15.000
2024-12-05,Salmón,15.000
2024-11-28,Merluza,14.000
2024-11-28,Atún,16.000
2024-11-26,Salmón,17.000
2024-11-27,Merluza,21.000
2024-11-27,Atún,9.000
2024-11-29,Salmón,21.000
2024-11-25,Salmón,12.000
2024-11-24,Merluza,23.000
2024-11-28,Salmón,12.000
2024-11-26,Merluza,18.000
2024-12-01,Salmón,34.000
2024-11-27,Salmón,19.000
2024-11-21,Atún,14.000
2024-11-20,Merluza,16.000
2024-11-22,Salmón,7.000
2024-11-21,Merluza,7.000
2024-11-29,Atún,26.000
2024-11-23,Atún,28.000
2024-11-20,Atún,19.000
2024-11-24,Atún,21.000
2024-11-22,Merluza,19.000
2024-11-25,Atún,7.000
2024-11-22,Atún,21.000
2024-11-19,Merluza,8.000
2024-11-23,Salmón,22.000
2024-11-19,Atún,9.000
2024-11-24,Salmón,30.000
2024-11-23,Merluza,28.000
2024-11-25,Merluza,17.000
2024-11-19,Salmón,20.000
2024-11-18,Salmón,7.000
2024-11-16,Atún,22.000
2024-11-15,Merluza,9.000
2024-11-18,Atún,26.000
2024-11-17,Atún,25.000
2024-11-21,Salmón,27.000
2024-11-15,Atún,17.000
2024-11-17,Salmón,25.000
2024-11-13,Merluza,8.000
2024-11-16,Salmón,25.000
2024-11-12,Atún,21.000
2024-11-18,Merluza,18.000
2024-11-20,Salmón,23.000
2024-11-16,Merluza,32.000
2024-11-12,Salmón,22.000
2024-11-09,Merluza,26.000
2024-11-17,Merluza,21.000
2024-11-09,Salmón,28.000
2024-11-14,Salmón,19.000
2024-11-13,Salmón,8.000
2024-11-15,Salmón,19.000
2024-11-09,Atún,21.000
2024-11-11,Salmón,8.000
2024-11-14,Atún,26.000
2024-11-11,Merluza,13.000
2024-11-12,Merluza,11.000
2024-11-07,Salmón,15.000
2024-11-14,Merluza,24.000
2024-11-10,Atún,26.000
2024-11-08,Merluza,25.000
2024-11-05,Salmón,20.000
2024-11-13,Atún,10.000
2024-11-10,Merluza,24.000
2024-11-08,Atún,11.000
2024-11-07,Atún,17.000
2024-11-11,Atún,19.000
2024-11-04,Salmón,24.000
2024-11-03,Atún,12.000
2024-11-10,Salmón,29.000
2024-11-08,Salmón,22.000
2024-11-04,Atún,8.000
2024-11-02,Salmón,26.000
2024-11-05,Atún,10.000
2024-11-06,Salmón,15.000
2024-11-04,Merluza,16.000
2024-10-30,Atún,12.000
2024-11-05,Merluza,13.000
2024-10-31,Merluza,23.000
2024-11-03,Salmón,26.000
2024-11-07,Merluza,24.000
2024-10-29,Atún,7.000
2024-11-06,Merluza,17.000
2024-11-06,Atún,10.000
2024-11-01,Atún,16.000
2024-10-31,Atún,17.000
2024-11-02,Merluza,18.000
2024-10-28,Atún,11.000
2024-10-30,Salmón,8.000
2024-11-02,Atún,30.000
2024-10-30,Merluza,16.000
2024-10-26,Atún,32.000
2024-11-01,Merluza,22.000
2024-10-27,Atún,30.000
2024-11-03,Merluza,30.000
2024-10-27,Merluza,16.000
2024-10-25,Merluza,25.000
2024-11-01,Salmón,10.000
2024-10-25,Atún,15.000
2024-10-29,Merluza,20.000
2024-10-28,Merluza,15.000
2024-10-31,Salmón,13.000
2024-10-29,Salmón,9.000
2024-10-26,Salmón,28.000
2024-10-27,Salmón,15.000
2024-10-28,Salmón,13.000
2024-10-22,Atún,22.000
2024-10-23,Salmón,24.000
2024-10-19,Merluza,10.000
2024-10-23,Merluza,26.000
2024-10-18,Merluza,10.000
2024-10-22,Salmón,14.000
2024-10-25,Salmón,7.000
2024-10-19,Atún,15.000
2024-10-26,Merluza,27.000
2024-10-24,Salmón,11.000
2024-10-22,Merluza,23.000
2024-10-24,Merluza,15.000
2024-10-18,Atún,13.000
2024-10-21,Salmón,25.000
2024-10-17,Atún,8.000
2024-10-21,Atún,12.000
2024-10-24,Atún,20.000
2024-10-23,Atún,23.000
2024-10-18,Salmón,11.000
2024-10-21,Merluza,11.000
2024-10-17,Merluza,23.000
2024-10-13,Atún,10.000
2024-10-14,Salmón,20.000
2024-10-17,Salmón,16.000
2024-10-20,Salmón,24.000
2024-10-14,Atún,17.000
2024-10-20,Atún,27.000
2024-10-11,Salmón,20.000
2024-10-19,Salmón,28.000
2024-10-20,Merluza,31.000
2024-10-12,Merluza,19.000
2024-10-12,Atún,28.000
2024-10-15,Merluza,24.000
2024-10-16,Salmón,15.000
2024-10-14,Merluza,15.000
2024-10-15,Salmón,11.000
2024-10-13,Salmón,30.000
2024-10-15,Atún,26.000
2024-10-09,Merluza,12.000
2024-10-08,Salmón,19.000
2024-10-16,Merluza,13.000
2024-10-13,Merluza,27.000
2024-10-12,Salmón,23.000
2024-10-16,Atún,14.000
2024-10-10,Atún,19.000
2024-10-08,Merluza,24.000
2024-10-11,Atún,15.000
2024-10-05,Merluza,29.000
2024-10-07,Atún,14.000
2024-10-06,Atún,29.000
2024-10-11,Merluza,11.000
2024-10-03,Salmón,23.000
2024-10-07,Merluza,18.000
2024-10-09,Salmón,11.000
2024-10-02,Atún,24.000
2024-10-03,Atún,14.000
2024-10-08,Atún,24.000
2024-10-06,Salmón,18.000
2024-10-10,Merluza,6.000
2024-10-09,Atún,13.000
2024-10-10,Salmón,12.000
2024-10-07,Salmón,22.000
2024-10-01,Merluza,16.000
2024-10-02,Salmón,20.000
2024-10-04,Salmón,17.000
2024-10-05,Atún,20.000
2024-10-04,Atún,11.000
2024-10-06,Merluza,30.000
2024-10-01,Salmón,16.000
2024-10-04,Merluza,12.000
2024-10-03,Merluza,14.000
2024-10-05,Salmón,25.000
2024-09-29,Salmón,25.000
2024-09-30,Salmón,25.000
2024-09-26,Atún,15.000
2024-09-29,Merluza,19.000
2024-09-29,Atún,25.000
2024-09-25,Atún,23.000
2024-09-25,Merluza,16.000
2024-09-27,Merluza,7.000
2024-09-30,Atún,9.000
2024-10-02,Merluza,7.000
2024-09-24,Atún,9.000
2024-10-01,Atún,7.000
2024-09-25,Salmón,9.000
2024-09-24,Merluza,18.000
2024-09-30,Merluza,16.000
2024-09-28,Atún,25.000
2024-09-27,Salmón,20.000
2024-09-22,Merluza,18.000
2024-09-26,Salmón,20.000
2024-09-28,Salmón,21.000
2024-09-24,Salmón,9.000
2024-09-23,Salmón,15.000
2024-09-22,Salmón,24.000
2024-09-19,Salmón,24.000
2024-09-26,Merluza,6.000
2024-09-28,Merluza,26.000
2024-09-27,Atún,21.000
2024-09-20,Salmón,7.000
2024-09-22,Atún,29.000
2024-09-20,Merluza,18.000
2024-09-21,Atún,12.000
2024-09-19,Merluza,25.000
2024-09-19,Atún,16.000
2024-09-23,Atún,12.000
2024-09-16,Merluza,16.000
2024-09-20,Atún,16.000
2024-09-17,Salmón,21.000
2024-09-17,Atún,21.000
2024-09-15,Salmón,27.000
2024-09-18,Salmón,20.000
2024-09-23,Merluza,6.000
2024-09-15,Atún,14.000
2024-09-14,Salmón,25.000
2024-09-21,Merluza,23.000
2024-09-14,Merluza,18.000
2024-09-21,Salmón,27.000
2024-09-16,Atún,5.000
2024-09-18,Atún,8.000
2024-09-12,Atún,15.000
2024-09-18,Merluza,21.000
2024-09-17,Merluza,13.000
2024-09-13,Salmón,19.000
2024-09-11,Salmón,16.000
2024-09-10,Salmón,11.000
2024-09-11,Atún,5.000
2024-09-09,Atún,12.000
2024-09-14,Atún,26.000
2024-09-10,Atún,12.000
2024-09-16,Salmón,23.000
2024-09-07,Salmón,25.000
2024-09-10,Merluza,8.000
2024-09-15,Merluza,22.000
2024-09-13,Merluza,23.000
2024-09-12,Merluza,20.000
2024-09-13,Atún,24.000
2024-09-08,Merluza,23.000
2024-09-05,Atún,21.000
2024-09-05,Salmón,10.000
2024-09-04,Atún,20.000
2024-09-11,Merluza,24.000
2024-09-08,Atún,23.000
2024-09-03,Salmón,20.000
2024-09-05,Merluza,22.000
2024-09-12,Salmón,12.000
2024-09-06,Atún,20.000
2024-09-09,Merluza,4.000
2024-09-06,Salmón,16.000
2024-09-07,Atún,25.000
2024-09-09,Salmón,11.000
2024-09-04,Merluza,11.000
2024-09-03,Merluza,17.000
2024-09-08,Salmón,14.000
2024-09-03,Atún,9.000
2024-09-06,Merluza,17.000
2024-09-01,Merluza,9.000
2024-09-07,Merluza,30.000
2024-08-31,Salmón,20.000
2024-09-04,Salmón,4.000
2024-09-02,Atún,16.000
2024-08-30,Salmón,6.000
2024-09-02,Merluza,9.000
2024-08-28,Atún,15.000
2024-08-30,Merluza,6.000
2024-08-28,Merluza,4.000
2024-09-01,Atún,19.000
2024-08-26,Salmón,14.000
2024-09-02,Salmón,21.000
2024-08-31,Atún,25.000
2024-08-24,Merluza,31.000
2024-08-29,Atún,18.000
2024-08-31,Merluza,20.000
2024-08-23,Merluza,22.000
2024-08-26,Atún,8.000
2024-08-24,Salmón,9.000
2024-09-01,Salmón,10.000
2024-08-30,Atún,22.000
2024-08-26,Merluza,15.000
2024-08-22,Merluza,10.000
2024-08-27,Merluza,4.000
2024-08-27,Salmón,10.000
2024-08-23,Atún,7.000
2024-08-29,Salmón,13.000
2024-08-27,Atún,6.000
2024-08-28,Salmón,15.000
2024-08-25,Atún,26.000
2024-08-25,Merluza,10.000
2024-08-29,Merluza,9.000
2024-08-19,Salmón,17.000
2024-08-21,Atún,21.000
2024-08-23,Salmón,14.000
2024-08-22,Salmón,16.000
2024-08-19,Merluza,23.000
2024-08-22,Atún,10.000
2024-08-18,Merluza,13.000
2024-08-25,Salmón,20.000
2024-08-18,Atún,13.000
2024-08-16,Merluza,9.000
2024-08-20,Atún,24.000
2024-08-21,Salmón,10.000
2024-08-16,Salmón,13.000
2024-08-24,Atún,27.000
2024-08-21,Merluza,14.000
2024-08-17,Atún,17.000
2024-08-17,Merluza,15.000
2024-08-17,Salmón,25.000
2024-08-20,Salmón,12.000
2024-08-12,Merluza,8.000
2024-08-14,Salmón,15.000
2024-08-20,Merluza,21.000
2024-08-15,Salmón,18.000
2024-08-13,Salmón,23.000
2024-08-11,Merluza,32.000
2024-08-12,Atún,14.000
2024-08-18,Salmón,13.000
2024-08-15,Merluza,17.000
2024-08-19,Atún,7.000
2024-08-13,Atún,18.000
2024-08-09,Atún,21.000
2024-08-11,Salmón,24.000
2024-08-16,Atún,18.000
2024-08-09,Merluza,18.000
2024-08-08,Atún,13.000
2024-08-15,Atún,6.000
2024-08-12,Salmón,9.000
2024-08-07,Salmón,17.000
2024-08-13,Merluza,11.000
2024-08-09,Salmón,9.000
2024-08-07,Merluza,20.000
2024-08-06,Salmón,14.000
2024-08-10,Atún,12.000
2024-08-14,Merluza,18.000
2024-08-06,Atún,21.000
2024-08-14,Atún,6.000
2024-08-04,Merluza,20.000
2024-08-05,Salmón,9.000
2024-08-08,Merluza,23.000
2024-08-11,Atún,13.000
2024-08-02,Salmón,21.000
2024-08-06,Merluza,8.000
2024-08-05,Merluza,7.000
2024-08-02,Atún,14.000
2024-08-10,Merluza,17.000
2024-08-04,Salmón,13.000
2024-08-10,Salmón,29.000
2024-08-02,Merluza,7.000
2024-08-03,Atún,19.000
2024-07-31,Merluza,7.000
2024-08-01,Merluza,3.000
2024-08-08,Salmón,20.000
2024-08-03,Merluza,16.000
2024-07-30,Merluza,9.000
2024-08-07,Atún,8.000
2024-08-05,Atún,23.000
2024-07-28,Merluza,23.000
2024-08-01,Atún,10.000
2024-07-30,Atún,14.000
2024-07-29,Merluza,11.000
2024-07-30,Salmón,5.000
2024-07-27,Salmón,30.000
2024-08-04,Atún,15.000
2024-07-28,Salmón,10.000
2024-07-31,Salmón,23.000
2024-07-29,Atún,6.000
2024-08-03,Salmón,23.000
2024-07-27,Atún,12.000
2024-08-01,Salmón,13.000
2024-07-26,Merluza,16.000
2024-07-27,Merluza,19.000
2024-07-31,Atún,9.000
2024-07-29,Salmón,5.000
2024-07-23,Salmón,14.000
2024-07-25,Atún,19.000
2024-07-26,Salmón,16.000
2024-07-21,Merluza,20.000
2024-07-24,Salmón,7.000
2024-07-21,Atún,12.000
2024-07-26,Atún,18.000
2024-07-24,Merluza,13.000
2024-07-28,Atún,19.000
2024-07-20,Merluza,31.000
2024-07-25,Salmón,11.000
2024-07-20,Atún,32.000
2024-07-18,Merluza,4.000
2024-07-18,Salmón,9.000
2024-07-22,Atún,14.000
2024-07-19,Atún,17.000
2024-07-16,Salmón,5.000
2024-07-25,Merluza,16.000
2024-07-23,Merluza,6.000
2024-07-16,Atún,20.000
2024-07-24,Atún,13.000
2024-07-17,Atún,16.000
2024-07-23,Atún,11.000
2024-07-21,Salmón,26.000
2024-07-19,Merluza,17.000
2024-07-22,Salmón,16.000
2024-07-15,Merluza,5.000
2024-07-15,Salmón,14.000
2024-07-22,Merluza,20.000
2024-07-19,Salmón,4.000
2024-07-17,Salmón,14.000
2024-07-12,Merluza,9.000
2024-07-12,Atún,19.000
2024-07-17,Merluza,19.000
2024-07-20,Salmón,27.000
2024-07-18,Atún,11.000
2024-07-16,Merluza,21.000
2024-07-13,Merluza,22.000
2024-07-12,Salmón,18.000
2024-07-11,Merluza,9.000
2024-07-11,Atún,7.000
2024-07-14,Merluza,15.000
2024-07-14,Atún,17.000
2024-07-15,Atún,8.000
2024-07-14,Salmón,14.000
2024-07-08,Salmón,6.000
2024-07-09,Atún,21.000
2024-07-07,Merluza,27.000
2024-07-09,Merluza,13.000
2024-07-07,Salmón,10.000
2024-07-13,Atún,14.000
2024-07-13,Salmón,16.000
2024-07-11,Salmón,2.000
2024-07-06,Atún,15.000
2024-07-07,Atún,7.000
2024-07-09,Salmón,3.000
2024-07-05,Merluza,7.000
2024-07-06,Merluza,22.000
2024-07-10,Merluza,19.000
2024-07-05,Atún,12.000
2024-07-02,Atún,14.000
2024-07-06,Salmón,10.000
2024-07-10,Atún,19.000
2024-07-03,Merluza,21.000
2024-07-10,Salmón,12.000
2024-07-05,Salmón,12.000
2024-07-08,Atún,13.000
2024-07-04,Atún,3.000
2024-07-08,Merluza,5.000
2024-07-04,Merluza,21.000
2024-07-03,Salmón,11.000
2024-07-04,Salmón,17.000
2024-07-02,Salmón,12.000
2024-07-03,Atún,9.000
2024-06-27,Atún,17.000
2024-06-27,Merluza,4.000
2024-06-30,Merluza,13.000
2024-07-01,Merluza,3.000
2024-06-28,Salmón,21.000
2024-07-01,Salmón,3.000
2024-07-02,Merluza,21.000
2024-06-30,Atún,5.000
2024-06-29,Atún,16.000
2024-06-25,Atún,17.000
2024-06-25,Salmón,17.000
2024-06-27,Salmón,2.000
2024-07-01,Atún,19.000
2024-06-29,Merluza,21.000
2024-06-28,Merluza,12.000
2024-06-26,Merluza,17.000
2024-06-23,Merluza,22.000
2024-06-29,Salmón,22.000
2024-06-30,Salmón,5.000
2024-06-28,Atún,14.000
2024-06-22,Salmón,10.000
2024-06-25,Merluza,18.000
2024-06-21,Atún,18.000
2024-06-24,Salmón,21.000
2024-06-24,Atún,7.000
2024-06-21,Salmón,9.000
2024-06-23,Salmón,18.000
2024-06-26,Salmón,6.000
2024-06-24,Merluza,6.000
2024-06-26,Atún,19.000
2024-06-17,Atún,8.000
2024-06-18,Salmón,21.000
2024-06-22,Merluza,28.000
2024-06-20,Merluza,8.000
2024-06-19,Salmón,4.000
